Configuration command,Command details,Command Parameters,Parameter Usage
dfeDataOutputMode,"The values in this command should not change between sensorStop and sensorStart.
Reboot the board to try config with different set of values in this command
This is a mandatory command.","<modeType>
1 - frame based chirps
2 - continuous chirping
3 - advanced frame config",only option 1 and 3 are supported
channelCfg,"Channel config message to RadarSS. See mmwavelink doxgen for details.
The values in this command should not change between sensorStop and sensorStart.
Reboot the board to try config with different set of values in this command
This is a mandatory command.","<rxChannelEn>
Receive antenna mask e.g for 4 antennas, it is 0x1111b = 15",4 antennas supported
,,<txChannelEn> Transmit antenna mask,"Refer to the antenna layout on the EVM
/board to determine the right Tx antenna mask needed to enable the desired virtual antenna configuration.
For example, in IWR6843 ISK, the 2
azimuth antennas can be enabled using bitmask 0x5 (i.e. tx1 and tx3). The azimuth and elevation antennas can both be enabled using bitmask 0x7 (i.e. tx1, tx2 and tx3).
For example, in xWR1642BOOST, the
azimuth antennas can be enabled using bitmask 0x3 (i.e. tx1 and tx2)."
,,"<cascading>
SoC cascading, not applicable, set to 0",n/a
adcCfg,"ADC config message to RadarSS. See mmwavelink doxgen for details.
The values in this command should not change between sensorStop and sensorStart.
Reboot the board to try config with different set of values in this command
This is a mandatory command.","<numADCBits>
Number of ADC bits (0 for 12-bits, 1 for 14-bits and 2 for 16-bits)",only 16-bit is supported
,,"<adcOutputFmt> Output format :
0 - real
1 - complex 1x (image band filtered output)
2 - complex 2x (image band visible))",only complex modes are supported
adcbufCfg,"adcBuf hardware config. The values in this command can be changed between sensorStop and sensorStart.
This is a mandatory command.",<subFrameIdx> subframe Index,"For legacy mode, that field should be set to -1
For advanced frame mode, it should be set to either the intended subframe number or -1 to apply same config to all subframes."
,,"<adcOutputFmt> ADCBUF out format 0-Complex,
1-Real",only complex modes are supported
,,"<SampleSwap>
ADCBUF IQ swap selection: 0-I in LSB, Q in MSB,
1-Q in LSB, I in MSB",only option 1 is supported
,,"<ChanInterleave>
ADCBUF channel interleave configuration:
0 - interleaved(only supported for XWR14xx),
1 - non-interleaved",only option 1 is supported
,,"<ChirpThreshold>
Chirp Threshold configuration used for ADCBUF buffer to trigger ping
/pong buffer switch. Valid values:
0-8 for demos that use DSP for 1D FFT and LVDS streaming is disabled
only 1 for demos that use HWA for 1D FFT","xwr16xx demo: Values 0-8 are supported sinc it uses DSP for 1D FFT However, only value of 1 is supported when LVDS streaming is enabled.
xwr64xx/xwr68xx
/xwr18xx: only value of 1 is supported since these demos use HWA for 1D FFT"
